User ID,Gender,Age,EstimatedSalary,Purchased
15774872,Female,52,138000, membeli
15611191,Female,53,82000, membeli
15674331,Male,41,52000,Tidak
15619465,Female,48,30000, membeli
15575247,Female,48,131000, membeli
15695679,Female,41,60000,Tidak
15713463,Male,41,72000,Tidak
15785170,Female,42,75000,Tidak
15796351,Male,36,118000, membeli
15639576,Female,47,107000, membeli
15693264,Male,38,51000,Tidak
15589715,Female,48,119000, membeli
15769902,Male,42,65000,Tidak
15587177,Male,40,65000,Tidak
15814553,Male,57,60000, membeli
15601550,Female,36,54000,Tidak
15664907,Male,58,144000, membeli
15612465,Male,35,79000,Tidak
15810800,Female,38,55000,Tidak
15665760,Male,39,122000, membeli
15588080,Female,53,104000, membeli
15776844,Male,35,75000,Tidak
15717560,Female,38,65000,Tidak
15629739,Female,47,51000, membeli
15729908,Male,47,105000, membeli
15716781,Female,41,63000,Tidak
15646936,Male,53,72000, membeli
15768151,Female,54,108000, membeli
15579212,Male,39,77000,Tidak
15721835,Male,38,61000,Tidak
15800515,Female,38,113000, membeli
15591279,Male,37,75000,Tidak
15587419,Female,42,90000, membeli
15750335,Female,37,57000,Tidak
15699619,Male,36,99000, membeli
15606472,Male,60,34000, membeli
15778368,Male,54,70000, membeli
15671387,Female,41,72000,Tidak
15573926,Male,40,71000, membeli
15709183,Male,42,54000,Tidak
15577514,Male,43,129000, membeli
15778830,Female,53,34000, membeli
15768072,Female,47,50000, membeli
15768293,Female,42,79000,Tidak
15654456,Male,42,104000, membeli
15807525,Female,59,29000, membeli
15574372,Female,58,47000, membeli
15671249,Male,46,88000, membeli
15779744,Male,38,71000,Tidak
15624755,Female,54,26000, membeli
15611430,Female,60,46000, membeli
15774744,Male,60,83000, membeli
15629885,Female,39,73000,Tidak
15708791,Male,59,130000, membeli
15793890,Female,37,80000,Tidak
15646091,Female,46,32000, membeli
15596984,Female,46,74000,Tidak
15800215,Female,42,53000,Tidak
15577806,Male,41,87000, membeli
15749381,Female,58,23000, membeli
15683758,Male,42,64000,Tidak
15670615,Male,48,33000, membeli
15715622,Female,44,139000, membeli
15707634,Male,49,28000, membeli
15806901,Female,57,33000, membeli
15775335,Male,56,60000, membeli
15724150,Female,49,39000, membeli
15627220,Male,39,71000,Tidak
15672330,Male,47,34000, membeli
15668521,Female,48,35000, membeli
15807837,Male,48,33000, membeli
15592570,Male,47,23000, membeli
15748589,Female,45,45000, membeli
15635893,Male,60,42000, membeli
15757632,Female,39,59000,Tidak
15691863,Female,46,41000, membeli
15706071,Male,51,23000, membeli
15654296,Female,50,20000, membeli
15755018,Male,36,33000,Tidak
15594041,Female,49,36000, membeli
